propertyId,streetAddress,city,stateCode,postalCode,countryCode,description,propertyName,propertyDescription,marketingName,floorplanName,neighborhood,neighborhoodDescription,latitude,longitude,belongedCity,currencyCode
ENTUS-1278016,426 North Alexandria Ave,Los Angeles,CA,90004,USA,"Welcome to Common Alexandria, your new home in Hollywood. In your fully-furnished coliving suite you will find your own private bedroom, in-unit laundry, and spacious shared areas where you can relax, unwind, and have fun. Common Alexandria also features a furnished rooftop with 360 degree views of the city - perfect for happy hour or simply enjoying the sunset! ",LAX.Alexandria (new),,Alexandria,,Hollywood,,34.07856,-118.298,Los Angeles,USD
ENTUS-1112588,4839-4847 Beverly Blvd,Los Angeles,CA,90004,USA,"Enjoy thoughtfully designed suites, comfortable furniture, and value-add amenities at Common Beverly by Category. This brand new coliving home offers the convenience of coliving with modern Los Angeles style. Work from home or take advantage of the spacious shared kitchen in the community lounge, or catch the L.A. sunset from the rooftop deck.",LAX.Beverly,,Beverly,,Hancock Park,"A residential neighborhood dating back to the 1920s and Hollywood’s Golden Age, Hancock Park is a quiet L.A. enclave with stunning architecture and palm-tree lined streets. Despite its laid back feel, there’s still plenty to do on its main strip, from museums to shopping and world-class dining. ",34.07652,-118.314,Los Angeles,USD
ENTUS-1277397,5544 Bonner Ave.,North Hollywood,CA,91601,USA,"As a member at Common Bonner, your rent gets you more. Your fully-furnished suite offers every convenience, from high-end appliances to in-unit laundry, along with access to amenities including bike storage, parking, and a backyard with picnic tables and a BBQ. ",LAX.Bonner (new),,Bonner,,North Hollywood,"A creative oasis with trendy galleries and close proximity to major studios, North Hollywood (aka NoHo) has become the preferred home for those working their way up in Hollywood. Catch a show at El Portal Theater, land a kick-flip in the North Hollywood Skate Plaza, or just grab a drink at The Federal. You’re also only a few blocks from daily conveniences like Whole Foods, Ralphs, and Trader Joe’s. ",34.17121978219389,-118.3739703414007,Los Angeles,USD
ENTUS-1112589,4971 S Centinela Ave,Los Angeles,CA,90066,USA,"Common Centinela was designed with comfort and convenience at its forefront. Alongside the ease of all-inclusive coliving, your new home offers plenty of opportunities to unwind solo or find community. Each suite offers its own private, furnished balcony alongside beautiful shared living spaces with a cozy couch, dining area, and television. Enjoy morning yoga or sunset dinners on the building’s rooftop deck, host a game night in the building’s rec room, or take a break from the busy work day in the building’s courtyard. With so much space beyond your apartment, Common Centinela is also the ideal home for remote workers. ",LAX.Centinela,,Centinela,,Playa Vista,"Live in the heart of Los Angeles’ Westside when you make your home in Playa Vista. Conveniently located near the beach, LAX, and Loyola Marymount, this diverse neighborhood is also home to a booming tech sector and great shopping. Outside your door, you’ll find the best city living has to offer, from the essentials that make life easier — including Whole Foods, CVS, and Blue Bottle Coffee Roasters — to the independent shops and restaurants that make a neighborhood feel like home. Explore the shops at Runway Playa Vista, grab a delicious breakfast at Hash Restaurant, or enjoy a locally brewed beer at Gulp Restaurant & Brew Co.",33.9871,-118.416,Los Angeles,USD
ENTUS-1093124,418 N Norton Ave,Los Angeles,CA,90004,USA,"Nestled among the palm trees of Larchmont Village, Common Elmwood is Los Angeles living done right. This gorgeous, Spanish style apartment complex features high-end kitchens, private balconies, spacious bedrooms, walk-in closets, and all the benefits of coliving.",LAX.Elmwood,,Elmwood,,Larchmont Village,"Larchmont Village offers residents a small town charm only minutes away from Hollywood, Beverly Hills, and Downtown L.A. This historical neighborhood features a bustling Main Street, home to some of the city’s coolest local restaurants and shops, along with gorgeous historic architecture.",34.0790972,-118.3189193,Los Angeles,USD
ENTUS-1132283,5460 Fountain Ave,Los Angeles,CA,90029,USA,"Beautiful balconies with killer views, cozy shared spaces, and plenty of room to entertain or just stretch out — you’ll find it all at Common Fountain. ",LAX.Fountain,,Fountain,,Hollywood,"While this iconic neighborhood might stir up visions of red carpets and movie studios, Hollywood still has plenty to offer residents who aren’t A-listers. Common Fountain is centrally located only a two minute drive from Santa Monica Boulevard, where you’ll find supermarkets, gyms, and locally-adored hangouts like Gold Digger Bar and Hollywood Forever Cemetery. Head north and you’ll hit Sunset Boulevard and Hollywood Boulevard, two of L.A.’s most iconic streets and home to a never-ending mix of tourist attractions and cozy restaurants and bars.",34.09471,-118.308,Los Angeles,USD
ENTUS-1168776,12610 Matteson Ave,Los Angeles,CA,90066,USA,"Common Matteson by Category is not your standard rental. As a member at our beautiful Mar Vista home, you’ll enjoy spaces created for how renters actually want to live today. In your fully-furnished shared suite you’ll find spacious kitchens, perfect for trying new recipes or cooking with friends, a cozy living area with flat-screen TV and cushy couch, and a private balcony perfect for morning coffee or just a breath of fresh air. Common Matteson by Category also features a furnished rooftop deck and a shared recreational room. Gather a group for a movie night, or get inspired with sunset views during happy hour. That’s not all, in addition to parking the home also offers bike racks with electrical outlets for charging. ",LAX.Matteson,,Matteson,,Mar Vista,"When you make your home in Mar Vista, you’ll discover city living at its best. Common Matteson by Category is only a quick bike ride or drive from the ocean, beach, and everything that comes with it. Take in the sun and sea in Marina del Rey, where you can sip cocktails at an oceanfront happy hour or rent everything from kayaks to sailboats. Beautiful Venice, a neighborhood known for local boutiques, meandering canals, and tourist attractions like the boardwalk and Abbot Kinney, is also nearby. But you won’t have to go far to find something fun. Your new home is surrounded by quaint coffee shops, delicious restaurants, and every convenience. Head south to W Washington Boulevard to grab a slice and a beer at Pitfire Artisan Pizza, a cone at Ginger Divine’s Ice Creams, or a cappuccino at The Boy & The Bear.",34.0000453001683,-118.43540488044916,Los Angeles,USD
ENTUS-1093144,6501 - 6507 Melrose Ave,Los Angeles,CA,90038,USA,"Sun-lit spaces, beautiful finishes, and cozy furniture — you’ll find it all at Common Melrose. This unique home is the ideal retreat from busy L.A. life, with space for peaceful mornings, game nights with new friends, and soaking up that SoCal sun. ",LAX.Melrose,,Melrose,,Melrose,"Nestled between Hollywood and Central L.A, Melrose brings a perfect balance between the excitement of the city and the laid back vibes of Southern California. You’re only moments away from iconic L.A. eateries like Osteria Mozza and Pink’s Hot Dogs, the shops at Larchmont Village, and Hollywood Forever Cemetery, a popular destination for their outdoor movie nights. ",34.0835873,-118.3401245,Los Angeles,USD
ENTUS-1112592,5637 Lexington Ave,Los Angeles,CA,90038,USA,"Common Paramount is a stunning, mid-rise building in the heart of Hollywood. Newly built, with modern finishes and sun-filled rooms, this Los Angeles home offers both all-inclusive coliving suites and private apartments. Along with in-unit laundry and stainless steel appliances, members at Common Paramount will also enjoy private balconies and a furnished rooftop deck.",LAX.Paramount,,Paramount,,Hollywood,"While this iconic neighborhood might stir up visions of red carpets and movie studios, Hollywood still has plenty to offer residents who aren’t A-listers. At Common Paramount, you’re only a quick drive away from Los Angeles favorites like Santa Monica Boulevard, Hollywood Forever Cemetery, Osteria la Buca and Cafe Gratitude.",34.09288561190597,-118.31224542212486,Los Angeles,USD
ENTUS-1276610,726-732 South Wilton Place,Los Angeles,CA,90005,USA,"Common Wilton by Category was designed with comfort and convenience at its forefront. 
With its well articulated and modernist architectural style, your new coliving apartment  includes spacious shared areas, a brand new kitchen and comfortable living room, alongside the privacy of your own private bedroom. 
With so much space beyond your apartment, Common Wilton by Category is the perfect place to relax, unwind and enjoy the best of LA living. Soak up the Los Angeles sun on the furnished rooftop deck, perfect for a moment of peace with your morning coffee or enjoying a sunset dinner with your suitemates. Host a game night in the building’s rec room, or take a break from the busy work day in the building’s courtyard. Alongside beautiful amenities you'll find added perks to make city living easier including complimentary bike storage, convenient onsite parking and in-uni laundry. You’ll quickly find yourself feeling at home when you move into Common Wilton by Category.",LAX.Wilton,,Wilton,,Hancock Park,"A residential neighborhood dating back to the 1920s and Hollywood’s Golden Age, Hancock Park is a quiet L.A. enclave with stunning architecture and palm-tree lined streets. Despite its laid back feel, there’s still plenty to do on its main strip, from museums to shopping and world-class dining including some of the best restaurants, karaoke, and nightlife in LA's bustling Koreatown just a few minutes away.",34.05907610441031,-118.31413251432029,Los Angeles,USD
ENTUS-1129967,1101 1/2 Ramblewood Rd,Baltimore,MD,21239,USA,"Live well in Baltimore at Noah at Yorkewood with high-quality, hassle-free rentals designed to make your life better. This comfortable, serene community offers spacious apartments and renovated kitchens alongside amenities like on-site laundry, parking, and a playground. Yorkewood is perfect for local renters looking for comfortable, attainable apartments close to work, school, and fun. 
Market rate and income restricted units available.",MD.Yorkewood,,Yorkewood,,Glen Oaks,"Yorkewood is located in Glen Oaks, Baltimore, just a 20 minute drive from Downtown. For essential workers like nurses and teachers, Yorkewood is an ideal home. Good Samaritan hospital is a 5 minute drive away, and many of the area’s public schools, including Leith Walk Elementary/Middle School, Mercy High School, and Northwood Elementary School are also nearby. 

Across the street from Yorkewood, residents can enjoy the playgrounds, sports fields, and hiking trails of Chinquapin Run Park – a 76 acre stretch of greenspace that’s ideal for playdates, picnics, dog walking, or just getting out in nature.",39.36201,-76.5967,Baltimore,USD
ENTUS-100008028,2306 Brick Church Pike,Nashville,TN,37207,USA,"Welcome to your new home in East Nashville. Nestled in the West Trinity Lane corridor, an area on the cusp of development, The Wilder by Common offers furnished and unfurnished studios, sweeping downtown views, and the perfect blend of privacy and community. Enjoy your very own studio and decorate it with our available furniture packs (from $100 monthly) while having access to incredible amenity spaces and a community where connections are made and memories are forged. 

With an array of amenities, The Wilder by Common is thoughtfully designed with today’s renter in mind. Unwind in the outdoor pool and sun deck, perfect for basking in the Tennessee sun, or keep fit with quick access to the building’s fitness center. Simplify your daily routine with the convenience of package lockers and on-site laundry facilities, then foster creativity and productivity in our sleek coworking lounge. As for your furry friends, treat them to the luxury experience they deserve at our pet spa. With ample on-site parking available, every aspect of your comfort and convenience is meticulously catered to at The Wilder by Common.

Explore our rental packages designed to suit your lifestyle needs. Choose between the Sunrise package for $150/month, offering a comprehensive selection of home essentials, or the Wilder package for $100/month, tailored for those who prefer a more streamlined setup. ",NVL.TheWilder,,TheWilder,,East Nashville,"The Wilder by Common is located in East Nashville, a dynamic and evolving neighborhood with a distinct personality. East Nashville residents take pride in the neighborhood's independent spirit and actively support local businesses and initiatives. The neighborhood is home to numerous art galleries, mural-covered buildings, and local studios, as well as independently-owned shops, boutiques, and vintage stores. Living in East Nashville also means enjoying a thriving music scene, diverse culinary spots, and Shelby Park, which offers walking trails, a golf course, and a nature center. Conveniently located adjacent to Interstate I-65 access and only a mile from the newly established Oracle HQ2 campus at River North, your new home caters to professionals and students alike, with proximity to esteemed institutions such as Tennessee State University and Vanderbilt University. Ready to venture out? Head over to downtown Nashville – the heartbeat of Music City, USA. Home to iconic landmarks like the Ryman Auditorium, Country Music Hall of Fame, and Broadway's honky-tonk bars, downtown Nashville pulses with energy day and night. Here, you'll find a dynamic mix of entertainment, dining, and cultural experiences against the backdrop of the city's stunning skyline.",36.20831,-86.7784,Nashville,USD
ENTUS-1093122,913 St Marks Ave,Brooklyn,NY,11213,USA,"Beautiful kitchens, sun-lit bedrooms, and cozy spaces to rest and relax — Common Brower is your ultimate escape from busy city life. ",NYC.Brower,,Brower,,Crown Heights,"Crown Heights is an eclectic and happening enclave in Brooklyn, with easy access to Manhattan via the A/C and 2/3/4/5. Home to the Brooklyn Botanic Garden and a never-ending supply of fantastic coffee, regional cuisines, and trendy shops, you’ll never run out of things to discover and explore in your new neighborhood.",40.6749688,-73.9434645,New York City,USD
ENTUS-1200286,335 E 27th St,New York,NY,10016,USA,"Carmel Place by Common is more than just a rental — it might be one of the most unique apartment buildings in Manhattan. The result of a winning proposal in the adAPT NYC competition, Carmel Place by Common is a real life example of how innovative unit types can create more housing for New Yorkers without sacrificing comfort or style. The home’s fully-furnished micro-units feature modular furniture, spacious kitchens, plenty of storage, and unique amenities like bed-linens and fully stocked bathrooms. The units’ nearly 10 ft tall ceilings and floor to ceiling windows with Juliet balconies also make your new home feel especially spacious and airy. When you need extra space, the building’s many amenities offer plenty of room for remote work, gatherings with friends, or a peaceful moment. Take in views of the city from the rooftop terrace, get work done in the coworking space, or break a sweat in the fitness center. Whatever your daily life includes, you’ll find a place for it at Carmel Place by Common.",NYC.CarmelPlace,,CarmelPlace,,Kips Bay,"Located in the heart of Manhattan, Kips Bay is an unassuming but popular neighborhood for New Yorkers looking for easy access to the best of the city. And as a member of Carmel Place by Common, it’s all right outside your door. The home is located on East 27th street, a brick-paved block that’s blocked off to cars and features ample seating for catching up with friends or enjoying a coffee from a local Coffee Shop in the sun. Across the street you’ll find Bellevue South Park, a tree filled greenspace complete with basketball courts and a playground. For a bite to eat or a night out, you’re only minutes away from Union Square and a stretch of delicious restaurants on 3rd Ave and Irving Place, including Caffe Panna, Rolfs, Street Taco, and Coletta.",40.73991,-73.9774,New York City,USD
ENTUS-1277398,16-63 Madison Street,Queens,NY,11385,USA,"Beautiful finishes, comfortable furniture, and spaces designed for community and privacy. At Common Cypress, you’ll find everything you can always expect at a Common coliving home. Whether you’re new to the city or just looking for a convenient place to call home, Common Cypress takes NYC living to new heights.",NYC.Cypress (new) (new),,Cypress,,Ridgewood,"Equal parts peaceful retreat and vibrant community, Ridgewood offers the best of both worlds for those looking for a neighborhood feel with the diversity and culture you expect from New York City. As a member at Common Cypress, you’ll come home to tree-lined streets and charming architecture, with plenty of opportunities to discover places like Topos Bookstore, Julia’s Beer and Wine Bar, and our favorite local boutique, Stay Forever.",40.7001917,-73.9103563,New York City,USD
ENTUS-1277399,283 Evergreen Ave,Brooklyn,NY,11221,USA,"Alongside your private bedroom and fully furnished shared suite, you’ll find plenty to love at Common Evergreen. Enjoy a city sunset from the rooftop, or lounge with a good book and a beer in the backyard. For cozier days, head to the community lounge, where you can study, work or enjoy a game night with your roommates when the day is done. Plus, each suite comes with in-unit laundry and updated appliances.",NYC.Evergreen (new),,Evergreen,,Bushwick,"No matter if you’ve lived in the neighborhood for one month or ten years, there’s always something new to discover in Bushwick. A short walk from Common Evergreen, you’ll find Santa Panza, a trattoria serving fresh pasta and pizza with plenty of outdoor dining. For a lighter option or a quick snack, head to The Juice Box, a neighborhood favorite for delicious smoothies, fresh juices, and Acai bowls.",40.69519,-73.9251,New York City,USD
ENTUS-1277400,300 St Nicholas Ave,Brooklyn,NY,11237,USA,"Common Gates is Brooklyn living done right. This stunning coliving home offers comfortable suites with beautiful furniture, high-end appliances, durable finishes, and small but day-making conveniences like in-unit laundry. ",NYC.Gates (new),,Gates,,Bushwick,"Dining, drinking, and some of the city’s best vintage shopping — Bushwick has it all. Live in one of Brooklyn’s most exciting neighborhoods, with easy access to public transportation, tree lined parks, and some of the city’s best nightlife when you move into Common Gates.",40.7011,-73.9113,New York City,USD
ENTUS-1093151,417 Grand Ave,Brooklyn,NY,11238,USA,"Easy city living meets classic New York architecture at Common Grand. This beautiful coliving home was once a single-family mansion, with many of the stunning details still in place — including ornate fireplaces (now decorative), intricate woodwork, and stunning hardwood floors. Alongside these classic details, you’ll also find everything you need for comfortable city living. Cook dinner with roommates in your completely renovated kitchen, unwind with a book in your cozy living room, or find a moment of peace in your own private bedroom. ",NYC.Grand,,Grand,,Clinton Hill,"Packed with a myriad of restaurants, beautiful brownstones, and leafy Brooklyn streets, Clinton Hill characterizes all the best parts of living in the city. Its streets are full-of-life, and the neighborhood, being home to Pratt Institute and Fort Greene Park, has a friendly community.",40.68338,-73.9615,New York City,USD
ENTUS-1093137,468 W 146th Street,New York,NY,10031,USA,"High-end finishes, spacious bedrooms, and stunning amenity spaces — you’ll find it all at Common Hamilton. This recently renovated home in the heart of Hamilton Heights offers private bedrooms, a large eat-in kitchen, a shared lounge, and a beautiful backyard. ",NYC.Hamilton,,Hamilton,,Hamilton Heights,"Hamilton Heights, in the heart of Upper Manhattan, is the ideal neighborhood for new and local New Yorkers alike, brimming with quality food, rich history, and a vibrant culture. The nearby Riverbank State Park has an Olympic-sized pool and skating rink that is open to the public, and St. Nicholas Park provides an oasis away from the busy city. Not to mention, there are tons of popular eateries to take advantage of. Harlem Public is a local favorite for craft beers on tap, and The Chipped Cup for a good cup of coffee, both just a short 7 minute walk away from Common Hamilton.",40.8254673,-73.9486528,New York City,USD
ENTUS-1093177,854 Hancock Street,Brooklyn,NY,11233,USA,"Sun-lit living spaces, modern finishes, and city living made easy — you’ll find it all at Common Hancock. Alongside your fully-furnished apartment, you’ll also have access to a community lounge.",NYC.Hancock,,Hancock,,Bed-Stuy,"Beautiful Bedford-Stuyvesant, also known as Bed-Stuy, is one of Brooklyn’s most exciting neighborhoods. As part of this vibrant community, you’ll discover tree-lined streets, stunning architecture, and some of the city’s best restaurants and entertainment.",40.6856499,-73.9235434,New York City,USD
ENTUS-1112602,1660 Madison Ave,New York,NY,10029,USA,"As a coliving member at the Heritage by Common, your rent gets you more: along with a fully-furnished and all-inclusive suite, you also have access to a host of amenities. These include a full-time concierge, covered bike and car parking, storage, an NYC Fresh Market, and a laundry room in addition to in-suite laundry.",NYC.Heritage,,Heritage,,Harlem,"At The Heritage by Common, Harlem is your neighborhood and Central Park, only a block away, is your backyard. Take a morning stroll, host a weekend picnic, or explore the park’s unique features, like the Harlem Meer or Lasker Rink, which offer seasonal ice skating or swimming, or the Conservatory Garden, a lush and vibrant formal garden perfect for a romantic afternoon. If nature’s not your thing, The Heritage by Common is only blocks away from some of Harlem’s cultural institutions like El Museo de Barrio and the Museum of the City of New York. You’re also near delicious restaurants like Seasoned Vegan, Maxwell’s Central Park, and Amy & Ruth’s, a local favorite well-known for serving up some of the city’s best soul food.",40.79677,-73.9478,New York City,USD
